type,title,country,date_added,release_year,rating,duration,genre
TV Show,The Muppets (Series),United States,2019-11-12T00:00:00Z,2015,TV-PG,1 Season,Comedy
TV Show,The New Adventures of Winnie the Pooh,United States,2019-11-12T00:00:00Z,1988,TV-Y,4 Seasons,"Animation, Kids"
TV Show,The Replacements,United States,2019-11-12T00:00:00Z,2006,TV-G,1 Season,"Animation, Comedy, Family"
TV Show,The Suite Life of Zack & Cody,United States,2019-11-12T00:00:00Z,2004,TV-G,3 Seasons,"Action-Adventure, Comedy, Coming of Age"
TV Show,The Suite Life On Deck,United States,2019-11-12T00:00:00Z,2008,TV-G,3 Seasons,"Action-Adventure, Comedy, Coming of Age"
TV Show,The World According to Jeff Goldblum,United States,2019-11-12T00:00:00Z,2019,TV-PG,2 Seasons,Docuseries
TV Show,Timon & Pumbaa,United States,2019-11-12T00:00:00Z,1995,TV-Y,3 Seasons,"Animation, Buddy, Comedy"
TV Show,Wild Yellowstone,Germany,2019-11-12T00:00:00Z,2015,TV-PG,1 Season,"Animals & Nature, Docuseries, Travel"
TV Show,Wizards of Waverly Place,United States,2019-11-12T00:00:00Z,2007,TV-G,4 Seasons,"Comedy, Coming of Age, Fantasy"
TV Show,Wolverine and The X-Men,United States,2019-11-12T00:00:00Z,2008,TV-Y7,1 Season,"Action-Adventure, Animation, Kids"
TV Show,X-Men: Evolution,United States,2019-11-12T00:00:00Z,2000,TV-Y7,4 Seasons,"Action-Adventure, Animation, Kids"
TV Show,Smart Guy,United States,2019-10-01T00:00:00Z,1996,TV-G,3 Seasons,"Comedy, Coming of Age, Kids"
TV Show,Disney Kirby Buckets,United States,NA,2014,TV-Y7,3 Seasons,"Action-Adventure, Comedy, Coming of Age"
TV Show,Disney Mech-X4,Canada,NA,2016,TV-Y7,2 Seasons,"Action-Adventure, Comedy, Science Fiction"
TV Show,Imagination Movers,United States,NA,2008,TV-Y,3 Seasons,"Kids, Music"
